timestamp,close
2026-08-30T14:21:00Z,78834.54
2026-08-30T14:22:00Z,78831.0
2026-08-30T14:23:00Z,78821.82
2026-08-30T14:24:00Z,78834.55
2026-08-30T14:25:00Z,78873.73
2026-08-30T14:26:00Z,78847.25
2026-08-30T14:27:00Z,78845.45
2026-08-30T14:28:00Z,78871.28
2026-08-30T14:29:00Z,78868.74
2026-08-30T14:30:00Z,78844.55
2026-08-30T14:31:00Z,78909.99
2026-08-30T14:32:00Z,78924.95
2026-08-30T14:33:00Z,78884.02
2026-08-30T14:34:00Z,78836.37
2026-08-30T14:35:00Z,78803.8
2026-08-30T14:36:00Z,78808.69
2026-08-30T14:37:00Z,78796.01
2026-08-30T14:38:00Z,78724.94
2026-08-30T14:39:00Z,78732.65
2026-08-30T14:40:00Z,78745.33
2026-08-30T14:41:00Z,78769.99
2026-08-30T14:42:00Z,78778.67
2026-08-30T14:43:00Z,78775.23
2026-08-30T14:44:00Z,78761.96
2026-08-30T14:45:00Z,78724.01
2026-08-30T14:46:00Z,78730.64
2026-08-30T14:47:00Z,78736.74
2026-08-30T14:48:00Z,78789.1
2026-08-30T14:49:00Z,78772.16
2026-08-30T14:50:00Z,78767.14
2026-08-30T14:51:00Z,78794.14
2026-08-30T14:52:00Z,78790.94
2026-08-30T14:53:00Z,78797.54
2026-08-30T14:54:00Z,78808.68
2026-08-30T14:55:00Z,78807.47
2026-08-30T14:56:00Z,78815.52
2026-08-30T14:57:00Z,78782.99
2026-08-30T14:58:00Z,78783.7
2026-08-30T14:59:00Z,78783.71
2026-08-30T15:00:00Z,78768.01
2026-08-30T15:01:00Z,78738.0
2026-08-30T15:02:00Z,78723.99
2026-08-30T15:03:00Z,78737.27
2026-08-30T15:04:00Z,78690.01
2026-08-30T15:05:00Z,78692.0
2026-08-30T15:06:00Z,78736.37
2026-08-30T15:07:00Z,78764.0
2026-08-30T15:08:00Z,78815.32
2026-08-30T15:09:00Z,78793.16
2026-08-30T15:10:00Z,78804.0
2026-08-30T15:11:00Z,78746.46
2026-08-30T15:12:00Z,78710.54
2026-08-30T15:13:00Z,78689.27
2026-08-30T15:14:00Z,78665.63
2026-08-30T15:15:00Z,78641.42
2026-08-30T15:16:00Z,78726.16
2026-08-30T15:17:00Z,78761.16
2026-08-30T15:18:00Z,78723.61
2026-08-30T15:19:00Z,78692.69
2026-08-30T15:20:00Z,78703.11
2026-08-30T15:21:00Z,78735.54
2026-08-30T15:22:00Z,78732.47
2026-08-30T15:23:00Z,78763.89
2026-08-30T15:24:00Z,78770.0
2026-08-30T15:25:00Z,78818.01
2026-08-30T15:26:00Z,78820.0
2026-08-30T15:27:00Z,78800.08
2026-08-30T15:28:00Z,78810.93
2026-08-30T15:29:00Z,78791.68
2026-08-30T15:30:00Z,78816.31
2026-08-30T15:31:00Z,78814.11
2026-08-30T15:32:00Z,78811.64
2026-08-30T15:33:00Z,78815.71
2026-08-30T15:34:00Z,78803.97
2026-08-30T15:35:00Z,78803.96
2026-08-30T15:36:00Z,78803.97
2026-08-30T15:37:00Z,78796.0
2026-08-30T15:38:00Z,78803.31
2026-08-30T15:39:00Z,78825.67
2026-08-30T15:40:00Z,78835.83
2026-08-30T15:41:00Z,78825.66
2026-08-30T15:42:00Z,78798.0
2026-08-30T15:43:00Z,78825.82
2026-08-30T15:44:00Z,78859.99
2026-08-30T15:45:00Z,78847.27
2026-08-30T15:46:00Z,78870.63
2026-08-30T15:47:00Z,78870.4
